imdb_title_id,year,colors
tt0080487,1980,"[{'color': '#99956c', 'name': 'gray', 'value': 'Grey', 'percent': 17.22}, {'color': '#d4d5b4', 'name': 'lightgray', 'value': 'Grey', 'percent': 20.69}, {'color': '#4a683e', 'name': 'darkolivegreen', 'value': 'Green', 'percent': 24.81}, {'color': '#33a834', 'name': 'limegreen', 'value': 'Green', 'percent': 10.46}, {'color': '#1f2719', 'name': 'black', 'value': 'Black', 'percent': 26.82}]"
tt0080500,1980,"[{'color': '#140c0e', 'name': 'black', 'value': 'Black', 'percent': 14.8}, {'color': '#172635', 'name': 'darkslategray', 'value': 'Black', 'percent': 60.02}, {'color': '#b68a7d', 'name': 'rosybrown', 'value': 'Brown', 'percent': 7.75}, {'color': '#efece6', 'name': 'linen', 'value': 'White', 'percent': 12.21}, {'color': '#1c4565', 'name': 'darkslategray', 'value': 'Blue', 'percent': 5.22}]"
tt0080520,1980,"[{'color': '#c8cba9', 'name': 'silver', 'value': 'Green', 'percent': 47.08}, {'color': '#882529', 'name': 'brown', 'value': 'Brown', 'percent': 17.44}, {'color': '#f5f7f1', 'name': 'whitesmoke', 'value': 'White', 'percent': 10.49}, {'color': '#748173', 'name': 'gray', 'value': 'Grey', 'percent': 17.58}, {'color': '#1c211f', 'name': 'black', 'value': 'Black', 'percent': 7.42}]"
tt0080549,1980,"[{'color': '#e0d8c8', 'name': 'lightgray', 'value': 'Grey', 'percent': 32.49}, {'color': '#567bb3', 'name': 'steelblue', 'value': 'Blue', 'percent': 10.8}, {'color': '#131419', 'name': 'black', 'value': 'Black', 'percent': 18.53}, {'color': '#a2856a', 'name': 'gray', 'value': 'Brown', 'percent': 27.5}, {'color': '#2e3d60', 'name': 'darkslategray', 'value': 'Blue', 'percent': 10.67}]"
tt0080550,1980,"[{'color': '#c9bfc8', 'name': 'silver', 'value': 'Grey', 'percent': 15.91}, {'color': '#4c5667', 'name': 'dimgray', 'value': 'Grey', 'percent': 10.25}, {'color': '#16161c', 'name': 'black', 'value': 'Black', 'percent': 15.49}, {'color': '#eee6ed', 'name': 'lavender', 'value': 'Grey', 'percent': 23.95}, {'color': '#9d888d', 'name': 'rosybrown', 'value': 'Grey', 'percent': 34.4}]"
tt0080556,1980,"[{'color': '#9d8781', 'name': 'gray', 'value': 'Grey', 'percent': 11.96}, {'color': '#fbf9f6', 'name': 'snow', 'value': 'White', 'percent': 57.66}, {'color': '#2f201a', 'name': 'black', 'value': 'Brown', 'percent': 10.04}, {'color': '#cdbeac', 'name': 'silver', 'value': 'Grey', 'percent': 8.64}, {'color': '#645047', 'name': 'darkolivegreen', 'value': 'Brown', 'percent': 11.7}]"
tt0080569,1980,"[{'color': '#f3d9ce', 'name': 'bisque', 'value': 'White', 'percent': 3.97}, {'color': '#512422', 'name': 'maroon', 'value': 'Brown', 'percent': 11.99}, {'color': '#816a66', 'name': 'dimgray', 'value': 'Brown', 'percent': 27.55}, {'color': '#c64234', 'name': 'firebrick', 'value': 'Red', 'percent': 40.39}, {'color': '#0d0505', 'name': 'black', 'value': 'Black', 'percent': 16.1}]"
tt0080661,1980,"[{'color': '#c8a59e', 'name': 'tan', 'value': 'Brown', 'percent': 25.01}, {'color': '#b2321f', 'name': 'firebrick', 'value': 'Red', 'percent': 6.86}, {'color': '#0a0d1b', 'name': 'black', 'value': 'Black', 'percent': 5.59}, {'color': '#5c5c66', 'name': 'dimgray', 'value': 'Grey', 'percent': 57.0}, {'color': '#f7f4f3', 'name': 'whitesmoke', 'value': 'White', 'percent': 5.53}]"
tt0080678,1980,"[{'color': '#e5dcbe', 'name': 'wheat', 'value': 'Grey', 'percent': 50.28}, {'color': '#0f0f09', 'name': 'black', 'value': 'Black', 'percent': 19.17}, {'color': '#708b81', 'name': 'slategray', 'value': 'Grey', 'percent': 7.56}, {'color': '#454530', 'name': 'darkslategray', 'value': 'Grey', 'percent': 14.59}, {'color': '#b8894f', 'name': 'peru', 'value': 'Brown', 'percent': 8.4}]"
tt0080684,1980,"[{'color': '#736b8a', 'name': 'slategray', 'value': 'Purple', 'percent': 14.36}, {'color': '#a8a0b8', 'name': 'darkgray', 'value': 'Grey', 'percent': 14.72}, {'color': '#201416', 'name': 'black', 'value': 'Black', 'percent': 23.36}, {'color': '#f7f6f8', 'name': 'whitesmoke', 'value': 'White', 'percent': 17.82}, {'color': '#4e4255', 'name': 'darkslategray', 'value': 'Grey', 'percent': 29.74}]"
