imdb_title_id,year,genre,faces
tt2097307,2012,"['Action', 'Comedy']",0
tt2101341,2013,"['Action', 'Crime', 'Drama']",1
tt2102502,2013,"['Action', 'Adventure', 'Comedy']",2
tt2103254,2014,"['Comedy', 'Romance']",0
tt2103267,2013,"['Drama', 'Romance']",0
tt2103281,2014,"['Action', 'Adventure', 'Drama']",0
tt2105044,2012,"['Horror', 'Thriller']",0
tt2106361,2014,"['Action', 'Adventure', 'Drama']",0
tt2106739,2012,"['Comedy', 'Drama', 'Romance']",2
tt2106741,2012,"['Action', 'Drama', 'Mystery']",2
tt2109184,2012,"['Horror', 'Mystery', 'Thriller']",0
tt2109248,2014,"['Action', 'Adventure', 'Sci-Fi']",0
tt2112124,2013,"['Action', 'Comedy']",0
tt2112131,2012,"['Action', 'Comedy']",0
tt2112293,2012,"['Comedy', 'Drama']",1
tt2113659,2014,"['Comedy', 'Drama', 'Romance']",0
tt2113822,2012,['Drama'],0
tt2120120,2015,"['Action', 'Comedy', 'Sci-Fi']",0
tt2121304,2013,"['Crime', 'Thriller']",2
tt2122340,2012,"['Comedy', 'Drama', 'Family']",0
tt2124074,2012,"['Drama', 'Romance']",0
tt2125435,2012,"['Adventure', 'Drama', 'Fantasy']",0
tt2125698,2012,"['Comedy', 'Drama']",1
tt2126355,2015,"['Action', 'Adventure', 'Drama']",0
tt2130242,2012,"['Comedy', 'Drama', 'Romance']",1
tt2132285,2013,"['Biography', 'Crime', 'Drama']",0
tt2140373,2013,"['Biography', 'Comedy', 'Drama']",0
tt2140379,2015,"['Action', 'Mystery', 'Sci-Fi']",0
tt2140619,2014,"['Comedy', 'Romance']",1
tt2141751,2014,"['Drama', 'Music', 'Romance']",2
tt2141773,2015,"['Animation', 'Adventure', 'Comedy']",0
tt2147728,2013,"['Drama', 'Music']",1
tt2166214,2012,"['Action', 'Comedy']",1
tt2169322,2013,['Comedy'],2
tt2170439,2014,"['Comedy', 'Crime']",5
tt2170593,2014,"['Comedy', 'Drama']",3
tt2172071,2012,"['Comedy', 'Drama', 'Romance']",2
tt2172934,2014,"['Action', 'Drama', 'Thriller']",0
tt2172935,2013,['Music'],0
tt2176013,2012,"['Drama', 'Romance']",2
tt2177771,2014,"['Comedy', 'Drama', 'History']",6
tt2178470,2013,"['Comedy', 'Drama', 'Musical']",2
tt2178508,2012,"['Action', 'Comedy']",0
tt2178941,2012,['Drama'],0
tt2179116,2013,"['Adventure', 'Comedy', 'Drama']",0
tt2179136,2014,"['Action', 'Biography', 'Drama']",0
tt2180411,2014,"['Adventure', 'Comedy', 'Drama']",1
tt2181931,2012,"['Comedy', 'Drama', 'Family']",4
tt2183034,2014,"['Adventure', 'Family', 'Sci-Fi']",0
tt2184339,2013,"['Horror', 'Thriller']",0
tt2186663,2013,['Thriller'],0
tt2186781,2013,"['Drama', 'Music', 'Romance']",0
tt2186933,2012,['Comedy'],2
tt2187884,2013,"['Drama', 'Fantasy', 'Horror']",0
tt2187972,2012,['Romance'],0
tt2190367,2012,"['Drama', 'Thriller']",0
tt2191701,2013,['Comedy'],4
tt2191721,2012,"['Comedy', 'Musical', 'Romance']",1
tt2193215,2013,"['Crime', 'Drama', 'Thriller']",3
tt2193364,2013,"['Drama', 'Sport']",0
tt2193418,2013,"['Action', 'History', 'Horror']",0
tt2194499,2013,"['Comedy', 'Drama', 'Fantasy']",0
tt2195548,2013,"['Comedy', 'Drama']",0
tt2197905,2012,['Sci-Fi'],0
tt2199571,2015,"['Action', 'Drama', 'Thriller']",2
